RaceID,Laps,Location,TrackName
1,18,hac habitasse,Jeddah Corniche Circuit
2,5,faucibus orci,Albert Park Circuit 
3,23,ut blandit non,Autódromo Hermanos Rodríguez
4,1,pede justo eu,Bahrain International Circuit
5,17,ante ipsum,Hungaroring
6,10,magnis dis parturient,Miami International Autodrome
7,24,cum sociis natoque,Shanghai International Circuit 
8,20,erat curabitur,Yas Marina Circuit 
9,20,quis turpis sed,Silverstone Circuit
10,24,mauris morbi,Circuit Zandvoort
11,19,morbi vestibulum,Marina Bay Street Circuit
12,2,molestie nibh in,Circuit de Monaco
13,15,mattis,Suzuka International Racing Course
14,24,nunc purus phasellus,Las Vegas Strip Circuit
15,23,vestibulum quam,Circuit de Barcelona-Catalunya 
16,22,ultrices erat,Jeddah Corniche Circuit
17,2,sed,Albert Park Circuit 
18,22,duis,Autódromo Hermanos Rodríguez
19,17,vel,Bahrain International Circuit
20,6,scelerisque,Hungaroring
21,27,vel,Miami International Autodrome
22,30,elit,Shanghai International Circuit 
23,6,elementum in hac,Yas Marina Circuit 
24,2,sed tincidunt,Silverstone Circuit
25,29,platea,Circuit Zandvoort
26,21,ultrices,Marina Bay Street Circuit
27,26,nisl,Circuit de Monaco
28,18,massa tempor convallis,Suzuka International Racing Course
29,1,penatibus et magnis,Las Vegas Strip Circuit
30,27,nunc purus,Circuit de Barcelona-Catalunya 
