TeamName,Base,TeamChief,TechnicalChief,Chassis,PowerUnit,FirstTeamEntry,WorldChampionships,HighestRaceFinish,PolePosition,FastestLaps
Red Bull Racing,"Milton Keynes, United Kingdom",Ivy Bushel,Mollee de Nore,quam suspendisse,aliquet maecenas,1986,4,7,7,26
Ferrari,"Maranello, Italy",Clarance Ivoshin,Brewster Noddles,justo nec,mattis,2005,2,3,5,54
Mercedes,"Brackley, United Kingdom",Cesare Scimone,Aleece Tiffin,quis turpis,nam,2020,4,6,7,25
McLaren,"Woking, United Kingdom",Hugibert Hebburn,Dan Shepeard,turpis adipiscing,ligula suspendisse,2000,7,7,2,20
Aston Martin,"Silverstone, United Kingdom",Arnoldo Ratley,Germaine Vallance,eget eleifend,pede,2001,0,3,5,22
Kick Sauber,"Hinwil, Switzerland",Janey Risso,Karina Dennidge,blandit nam,vivamus,1979,7,5,1,59
Hass F1 Team,"Kannapolis, United States",Sascha Inglesant,Nicoli Yeskin,purus,mattis nibh,2000,4,3,10,63
RB,"Faenza, Italy",Yolanthe Schutt,Danya Gambie,morbi quis,nunc,1991,7,7,3,78
Williams,"Grove, United Kingdom",Fan Egglestone,Xymenes Rennard,diam in,a,1995,4,1,2,13
Alpine,"Enstone, United Kingdom",Billy Harbor,Melisande Chalkly,ante,eget nunc,1979,4,7,5,40
ART Grand Prix,"Saint Pierre Du Perray, France",Coraline Walder,Tamiko Sparks,id,ipsum praesent,2009,4,8,9,28
Rodin Motorsports,"Surrey, New Zealand",Tedd Paragreen,Clarinda MacNamara,lorem,sit amet,1990,0,10,5,70
Van Amersfoort Racing,"Zeewolde, Netherlands",Lucius Swindlehurst,Caprice Zorzoni,sed,id,2002,1,1,7,85
Hitch GP,"Silverstone, United Kingdom",Dorelle Martynikhin,Desi Sorsbie,luctus,curae nulla,2018,3,6,7,40
PHM AIX Racing,"Berlin, Germany",Monique Gibbens,Crystal Colquitt,vel,penatibus,2020,8,5,10,58
Honda,"Madrid, Spain",Pepito Grillo,Joe Jonas,qow,owi,2019,2,3,4,35
Porsche F1,"Cadiz, Spain",Juanita Loca,Pepito,wus,poq,2012,3,5,2,32
Pirelli,"Seville, Spain",Juan Torres,Loco Perez,quoq,qpioa,2002,3,6,1,28
DMC,"Toledo, Spain",Pie Aju,Pio XII,quw,qet,2004,7,2,3,31
Zen Racing,"Torremolinos, Spain",Opera Mini,Paco,Kio,qio,2018,3,6,1,47
